user_id,segment,trade_frequency_per_week,portfolio_value_usd,risk_score,avg_holding_days,volatility_exposure
U13006,Équilibré,18,688.54,0.595,70.7,0.259
U13007,Aventurier,37,4837.83,0.979,12.5,0.568
U13008,Aventurier,45,3957.15,0.673,9.0,0.506
U13009,Prudent,4,993.25,0.116,169.4,0.037
U13010,Prudent,1,1156.22,0.244,200.4,0.067
U13011,Équilibré,13,1456.99,0.407,36.8,0.248
U13012,Équilibré,11,2082.83,0.398,34.9,0.119
U13013,Équilibré,9,597.4,0.401,62.4,0.276
U13014,Prudent,0,940.66,0.092,137.7,0.053
U13015,Aventurier,39,4244.17,0.928,1.6,0.883
U13016,Équilibré,11,1797.29,0.539,41.3,0.221
U13017,Aventurier,48,5182.6,0.793,8.4,0.672
U13018,Équilibré,9,1656.51,0.488,31.0,0.225
U13019,Équilibré,8,947.08,0.421,71.4,0.159
U13020,Aventurier,48,3223.57,0.898,10.5,0.574
U13021,Équilibré,13,1560.35,0.393,62.8,0.343
U13022,Aventurier,41,3980.28,0.744,13.1,0.876
U13023,Aventurier,43,2739.45,0.791,4.4,0.436
U13024,Équilibré,8,2487.56,0.458,72.6,0.324
U13025,Équilibré,3,1916.7,0.39,39.5,0.168
U13026,Prudent,1,695.94,0.213,206.3,0.095
U13027,Prudent,3,981.03,0.099,170.6,0.025
U13028,Prudent,4,1083.58,0.085,123.5,0.063
U13029,Prudent,1,1222.08,0.078,204.8,0.028
U13030,Prudent,4,1035.73,0.087,162.5,0.066
U13031,Prudent,5,700.08,0.154,135.3,0.024
U13032,Équilibré,6,1567.92,0.329,35.4,0.162
U13033,Équilibré,14,1225.76,0.348,46.7,0.257
U13034,Prudent,1,476.31,0.078,246.1,0.089
U13035,Prudent,1,378.92,0.21,111.3,0.098
U13036,Équilibré,7,930.23,0.527,73.7,0.132
U13037,Équilibré,5,2318.44,0.522,28.3,0.207
U13038,Équilibré,10,2483.96,0.452,22.9,0.294
U13039,Équilibré,7,1796.73,0.328,47.3,0.321
U13040,Aventurier,39,2304.09,0.721,9.9,0.756
U13041,Équilibré,9,2776.18,0.6,88.3,0.277
U13042,Équilibré,7,1370.19,0.522,53.7,0.17
U13043,Aventurier,38,3519.68,0.752,3.9,0.842
U13044,Aventurier,44,2561.64,0.874,5.3,0.366
U13045,Équilibré,11,2357.57,0.374,88.3,0.326
U13046,Équilibré,3,1098.22,0.443,21.9,0.211
U13047,Prudent,2,738.54,0.126,149.5,0.087
U13048,Équilibré,8,1598.97,0.408,84.4,0.25
U13049,Aventurier,44,3267.81,0.823,3.6,0.572
U13050,Équilibré,10,1106.2,0.395,21.0,0.2
U13051,Aventurier,42,5696.02,0.999,6.9,0.444
U13052,Équilibré,8,2011.23,0.563,43.6,0.262
U13053,Aventurier,44,945.22,0.883,13.5,0.826
U13054,Équilibré,13,2504.95,0.517,31.5,0.3
U13055,Prudent,1,746.37,0.16,272.0,0.049
U13056,Équilibré,8,2844.02,0.471,35.7,0.299
U13057,Prudent,4,443.15,0.246,118.1,0.052
U13058,Prudent,1,1207.81,0.224,145.1,0.06
U13059,Aventurier,29,1551.07,0.612,3.7,0.862
U13060,Prudent,5,470.09,0.143,271.2,0.059
U13061,Équilibré,9,1628.08,0.339,56.8,0.177
U13062,Prudent,1,816.81,0.222,122.3,0.038
U13063,Prudent,3,1047.22,0.14,189.3,0.027
U13064,Aventurier,34,5602.82,0.972,6.3,0.793
U13065,Équilibré,11,1603.06,0.359,82.7,0.146
U13066,Équilibré,13,1597.36,0.535,24.9,0.156
U13067,Équilibré,11,2132.52,0.256,42.1,0.171
U13068,Équilibré,13,2204.61,0.256,34.0,0.158
U13069,Aventurier,33,2063.57,0.854,7.4,0.823
U13070,Équilibré,11,2069.89,0.355,31.1,0.207
U13071,Équilibré,8,2090.2,0.544,57.9,0.252
U13072,Aventurier,38,2853.96,0.915,7.9,0.785
U13073,Prudent,4,1074.03,0.09,155.4,0.098
U13074,Équilibré,11,1211.28,0.388,45.0,0.158
U13075,Aventurier,37,5902.25,0.899,13.6,0.526
U13076,Équilibré,7,1360.19,0.369,55.9,0.178
U13077,Aventurier,35,7784.91,0.77,13.8,0.376
U13078,Équilibré,9,2358.25,0.524,51.6,0.255
U13079,Aventurier,46,5640.09,0.737,6.2,0.758
U13080,Aventurier,45,2007.04,0.765,6.4,0.511
U13081,Prudent,0,858.04,0.105,227.2,0.076
U13082,Prudent,1,608.12,0.071,261.4,0.095
U13083,Équilibré,7,2078.87,0.36,51.0,0.276
U13084,Équilibré,7,914.53,0.598,49.9,0.283
U13085,Prudent,1,728.21,0.18,133.2,0.095
U13086,Prudent,2,791.61,0.119,296.0,0.045
U13087,Prudent,5,481.51,0.127,131.1,0.027
U13088,Aventurier,36,5003.33,0.627,1.5,0.383
U13089,Équilibré,12,2361.88,0.468,53.5,0.304
U13090,Équilibré,11,2142.33,0.402,51.5,0.212
U13091,Prudent,2,816.6,0.151,137.9,0.025
U13092,Équilibré,7,1687.14,0.273,63.1,0.168
U13093,Prudent,2,963.78,0.223,209.3,0.089
U13094,Prudent,3,905.58,0.173,149.0,0.038
U13095,Aventurier,32,2284.95,0.787,11.6,0.434
U13096,Aventurier,35,6127.24,0.999,8.2,0.604
U13097,Prudent,0,725.54,0.158,286.4,0.094
U13098,Prudent,1,1203.57,0.127,232.8,0.031
U13099,Prudent,3,917.27,0.06,134.4,0.082
U13100,Équilibré,12,1485.27,0.321,75.4,0.205
U13101,Prudent,2,883.18,0.096,190.4,0.099
U13102,Prudent,0,730.88,0.161,172.3,0.066
U13103,Prudent,1,409.77,0.102,128.0,0.073
U13104,Équilibré,7,2374.62,0.45,57.5,0.188
U13105,Équilibré,6,1362.31,0.586,43.9,0.348
U13106,Équilibré,12,2958.81,0.44,33.5,0.124
U13107,Équilibré,9,2239.57,0.396,55.9,0.271
U13108,Aventurier,39,976.02,0.631,6.9,0.834
U13109,Aventurier,43,1233.72,0.655,11.9,0.585
U13110,Prudent,0,800.17,0.214,287.2,0.047
U13111,Prudent,2,1447.35,0.154,264.8,0.062
U13112,Équilibré,11,2100.84,0.436,84.8,0.313
U13113,Prudent,0,1121.27,0.207,171.9,0.069
U13114,Équilibré,9,768.24,0.598,67.5,0.174
U13115,Équilibré,11,1234.52,0.589,58.2,0.301
U13116,Équilibré,14,2270.12,0.353,59.0,0.308
U13117,Prudent,5,648.51,0.105,203.6,0.025
U13118,Équilibré,9,1066.13,0.518,43.2,0.21
U13119,Aventurier,49,3729.68,0.848,13.8,0.399
U13120,Prudent,1,833.43,0.077,225.3,0.087
U13121,Équilibré,14,2049.74,0.374,65.8,0.12
U13122,Prudent,2,695.26,0.172,190.7,0.095
U13123,Prudent,1,656.46,0.242,248.4,0.021
U13124,Équilibré,13,1824.09,0.487,73.7,0.262
U13125,Prudent,3,603.2,0.177,291.6,0.047
U13126,Prudent,5,765.81,0.168,210.5,0.054
U13127,Prudent,1,746.04,0.074,139.3,0.068
U13128,Équilibré,13,2139.14,0.489,30.6,0.279
U13129,Équilibré,12,2061.17,0.324,85.8,0.32
U13130,Prudent,4,994.84,0.186,242.0,0.05
U13131,Équilibré,9,2385.62,0.266,89.8,0.177
U13132,Prudent,5,334.52,0.171,264.3,0.032
U13133,Équilibré,9,2663.01,0.47,28.1,0.151
U13134,Équilibré,6,1764.28,0.261,81.8,0.311
U13135,Équilibré,10,2396.11,0.436,23.5,0.186
U13136,Aventurier,44,3966.21,0.998,11.4,0.389
U13137,Aventurier,55,1553.07,0.698,9.0,0.366
U13138,Prudent,1,953.52,0.131,108.9,0.046
U13139,Aventurier,33,2166.1,0.91,12.7,0.511
U13140,Prudent,3,772.99,0.105,233.7,0.07
U13141,Aventurier,40,6681.7,0.895,8.1,0.804
U13142,Prudent,0,713.83,0.189,135.6,0.052
U13143,Équilibré,10,894.41,0.32,29.2,0.179
U13144,Prudent,3,565.55,0.22,280.3,0.052
U13145,Prudent,3,461.33,0.182,110.4,0.08
U13146,Équilibré,7,2429.49,0.565,59.1,0.223
U13147,Aventurier,34,4788.57,0.975,12.2,0.638
U13148,Équilibré,12,2126.72,0.48,25.4,0.261
U13149,Équilibré,8,1888.14,0.483,34.0,0.125
U13150,Équilibré,9,1142.51,0.474,32.4,0.218
U13151,Prudent,2,747.71,0.176,276.3,0.07
U13152,Prudent,5,1033.02,0.186,138.4,0.053
U13153,Prudent,4,909.25,0.239,271.3,0.037
U13154,Équilibré,8,2438.35,0.398,43.8,0.296
U13155,Prudent,4,945.09,0.207,291.5,0.037
U13156,Prudent,2,784.17,0.069,124.3,0.052
U13157,Prudent,2,673.76,0.226,140.1,0.076
U13158,Prudent,4,563.6,0.155,288.5,0.089
U13159,Aventurier,45,2025.06,0.759,8.6,0.541
U13160,Prudent,0,854.6,0.113,284.5,0.069
U13161,Équilibré,7,1877.1,0.401,45.2,0.141
U13162,Équilibré,3,2328.4,0.419,23.6,0.345
U13163,Équilibré,12,1931.45,0.374,30.8,0.209
U13164,Prudent,1,793.56,0.126,152.8,0.043
U13165,Prudent,4,1035.99,0.188,197.4,0.075
U13166,Prudent,0,816.47,0.062,171.0,0.035
U13167,Équilibré,14,2192.52,0.272,69.6,0.103
U13168,Prudent,3,851.45,0.15,290.3,0.044
U13169,Équilibré,8,2010.59,0.328,83.2,0.231
U13170,Équilibré,17,2869.54,0.298,45.7,0.236
U13171,Équilibré,7,1766.71,0.563,32.4,0.117
U13172,Équilibré,8,2146.81,0.332,74.5,0.304
U13173,Équilibré,11,2391.01,0.514,86.1,0.122
U13174,Aventurier,47,1883.9,0.771,1.1,0.874
U13175,Prudent,2,628.47,0.246,257.2,0.072
U13176,Équilibré,12,827.27,0.431,25.4,0.195
U13177,Équilibré,6,2838.97,0.476,90.0,0.164
U13178,Équilibré,11,1861.69,0.485,40.3,0.281
U13179,Prudent,1,779.34,0.191,131.5,0.043
U13180,Équilibré,6,876.32,0.401,35.6,0.173
U13181,Prudent,2,553.77,0.225,190.1,0.047
U13182,Prudent,2,523.56,0.245,277.2,0.082
U13183,Prudent,4,484.56,0.181,273.1,0.056
U13184,Prudent,2,286.53,0.233,208.0,0.049
U13185,Équilibré,9,2453.62,0.593,77.5,0.13
U13186,Aventurier,37,2441.0,0.953,7.5,0.527
U13187,Prudent,2,805.89,0.222,155.9,0.071
U13188,Aventurier,39,1608.69,0.788,9.9,0.826
U13189,Aventurier,36,3753.14,0.963,9.3,0.686
U13190,Aventurier,44,4558.62,0.803,10.1,0.733
U13191,Aventurier,33,3105.5,0.855,1.8,0.803
U13192,Équilibré,11,2039.1,0.509,73.4,0.162
U13193,Prudent,3,1053.16,0.117,233.8,0.073
U13194,Équilibré,11,1465.43,0.33,30.7,0.184
U13195,Équilibré,10,2124.5,0.284,89.1,0.298
U13196,Aventurier,50,2180.41,0.982,14.8,0.611
U13197,Aventurier,47,2863.02,0.887,3.2,0.527
U13198,Équilibré,8,1018.5,0.25,41.1,0.152
U13199,Prudent,3,772.6,0.204,145.2,0.07
U13200,Prudent,2,912.73,0.224,237.6,0.053
U13201,Prudent,1,526.83,0.218,159.3,0.067
U13202,Équilibré,11,1483.67,0.467,75.1,0.211
U13203,Équilibré,6,1633.16,0.373,79.8,0.292
U13204,Aventurier,41,2724.71,0.799,12.9,0.513
U13205,Équilibré,11,1995.26,0.581,38.2,0.271
U13206,Aventurier,46,1853.84,0.696,12.3,0.389
U13207,Équilibré,8,1500.81,0.564,51.7,0.141
U13208,Aventurier,36,3066.09,0.73,2.4,0.591
U13209,Prudent,1,799.52,0.181,153.0,0.068
U13210,Aventurier,40,4135.89,0.687,1.0,0.449
U13211,Équilibré,7,941.01,0.352,34.4,0.119
U13212,Prudent,1,643.18,0.175,272.4,0.05
U13213,Prudent,2,665.36,0.072,232.6,0.057
U13214,Aventurier,38,2535.84,0.979,7.9,0.814
U13215,Prudent,2,610.98,0.055,180.1,0.059
U13216,Équilibré,9,2434.86,0.55,55.6,0.298
U13217,Prudent,1,624.31,0.238,249.3,0.069
U13218,Équilibré,10,2547.94,0.265,65.6,0.172
U13219,Aventurier,38,2076.61,0.684,14.6,0.434
U13220,Équilibré,15,1423.61,0.38,53.4,0.105
U13221,Équilibré,12,2036.51,0.311,60.7,0.24
U13222,Aventurier,31,3411.05,0.619,6.9,0.36
U13223,Équilibré,6,1825.47,0.436,46.6,0.251
U13224,Aventurier,31,6021.4,0.799,10.5,0.421
U13225,Équilibré,9,2180.9,0.369,39.0,0.118
U13226,Prudent,2,608.87,0.111,245.9,0.043
U13227,Équilibré,9,1603.05,0.291,59.8,0.321
U13228,Équilibré,9,1284.57,0.338,58.9,0.136
U13229,Prudent,0,524.08,0.199,120.4,0.071
U13230,Prudent,3,954.0,0.058,186.3,0.083
U13231,Prudent,2,920.01,0.142,111.5,0.078
U13232,Équilibré,14,1932.04,0.38,43.1,0.127
U13233,Aventurier,36,1467.36,0.822,8.6,0.56
U13234,Prudent,5,724.77,0.138,275.8,0.032
U13235,Équilibré,12,731.42,0.453,50.1,0.246
U13236,Aventurier,29,4152.7,0.913,4.9,0.732
U13237,Prudent,0,1051.65,0.192,270.2,0.089
U13238,Équilibré,7,2365.41,0.257,26.2,0.205
U13239,Aventurier,43,2557.7,0.602,13.1,0.891
U13240,Aventurier,39,660.03,0.67,11.1,0.576
U13241,Prudent,3,827.18,0.165,102.6,0.054
U13242,Prudent,3,1072.73,0.233,249.8,0.092
U13243,Prudent,3,597.11,0.177,173.9,0.038
U13244,Équilibré,10,773.79,0.567,85.3,0.346
U13245,Équilibré,14,2129.44,0.396,75.4,0.136
U13246,Équilibré,3,1496.69,0.345,76.8,0.329
U13247,Prudent,1,501.89,0.059,282.2,0.081
U13248,Prudent,1,166.76,0.213,270.8,0.089
U13249,Équilibré,13,1672.2,0.437,45.7,0.278
U13250,Équilibré,8,1578.57,0.367,75.9,0.139
U13251,Équilibré,8,1873.78,0.494,86.5,0.344
U13252,Équilibré,8,1497.32,0.279,70.5,0.183
U13253,Prudent,1,535.35,0.166,202.2,0.069
U13254,Prudent,1,821.29,0.207,298.3,0.05
U13255,Prudent,2,542.22,0.075,208.7,0.07
U13256,Prudent,2,620.25,0.06,111.8,0.04
U13257,Prudent,2,1092.24,0.153,104.6,0.086
U13258,Prudent,2,1133.43,0.183,155.3,0.021
U13259,Prudent,4,843.1,0.176,183.3,0.027
U13260,Prudent,2,387.53,0.082,203.6,0.042
U13261,Équilibré,7,2769.43,0.407,25.4,0.223
U13262,Prudent,4,879.08,0.172,104.5,0.089
U13263,Équilibré,9,2221.38,0.579,57.8,0.191
U13264,Équilibré,12,2667.19,0.433,82.6,0.21
U13265,Équilibré,9,1043.63,0.533,64.2,0.34
U13266,Aventurier,51,4770.21,0.929,1.7,0.529
U13267,Prudent,1,1089.0,0.192,255.1,0.033
U13268,Équilibré,8,2122.95,0.456,26.1,0.331
U13269,Aventurier,33,4347.52,0.833,6.8,0.754
U13270,Aventurier,37,2719.63,0.636,1.8,0.471
U13271,Prudent,2,939.09,0.115,195.2,0.026
U13272,Prudent,0,966.55,0.099,130.0,0.025
U13273,Prudent,2,964.64,0.2,106.2,0.026
U13274,Équilibré,16,1465.79,0.258,47.3,0.291
U13275,Équilibré,6,1724.98,0.291,63.0,0.26
U13276,Prudent,1,354.61,0.202,285.6,0.048
U13277,Équilibré,6,1701.05,0.534,66.9,0.287
U13278,Équilibré,7,1842.07,0.598,45.2,0.106
U13279,Équilibré,8,1592.57,0.528,27.7,0.228
U13280,Aventurier,38,4397.57,0.91,9.4,0.873
U13281,Équilibré,9,2256.94,0.48,64.1,0.28
U13282,Prudent,0,581.16,0.108,214.9,0.055
U13283,Équilibré,10,839.41,0.53,61.1,0.349
U13284,Prudent,1,1014.2,0.094,150.4,0.022
U13285,Équilibré,15,2011.45,0.55,63.9,0.121
U13286,Aventurier,43,5404.83,0.958,12.5,0.408
U13287,Aventurier,45,3872.38,0.86,13.8,0.648
U13288,Équilibré,7,1963.66,0.317,73.3,0.32
U13289,Prudent,4,1150.43,0.138,180.6,0.089
U13290,Prudent,2,880.21,0.2,201.8,0.025
U13291,Équilibré,4,1801.86,0.344,45.5,0.336
U13292,Prudent,1,866.52,0.101,121.6,0.089
U13293,Équilibré,12,702.24,0.574,48.0,0.341
U13294,Prudent,2,544.03,0.08,131.2,0.064
U13295,Prudent,2,889.74,0.055,169.0,0.079
U13296,Prudent,0,350.52,0.073,163.0,0.028
U13297,Aventurier,38,1340.61,0.777,14.9,0.896
U13298,Équilibré,11,2046.07,0.425,78.5,0.243
U13299,Prudent,4,840.47,0.196,192.7,0.097
U13300,Prudent,1,320.79,0.09,174.2,0.062
U13301,Équilibré,8,1168.55,0.517,60.3,0.271
U13302,Prudent,4,980.52,0.232,188.1,0.037
U13303,Équilibré,8,1604.72,0.456,60.2,0.111
U13304,Aventurier,39,2166.4,0.612,15.0,0.674
U13305,Équilibré,15,606.28,0.292,50.5,0.159
U13306,Équilibré,8,2773.55,0.37,72.0,0.346
U13307,Équilibré,8,2072.67,0.529,31.1,0.264
U13308,Aventurier,44,5802.49,0.662,14.2,0.454
U13309,Aventurier,44,3967.7,0.753,7.2,0.777
U13310,Équilibré,10,2331.28,0.582,39.2,0.139
U13311,Prudent,6,705.18,0.075,184.9,0.082
U13312,Équilibré,10,1522.48,0.451,44.6,0.227
U13313,Prudent,4,833.18,0.172,160.0,0.026
U13314,Équilibré,11,1771.25,0.307,35.1,0.26
U13315,Équilibré,9,2020.46,0.324,22.3,0.213
U13316,Prudent,0,746.63,0.135,294.0,0.084
U13317,Prudent,3,924.82,0.234,123.0,0.085
U13318,Équilibré,13,2228.79,0.391,49.4,0.189
U13319,Aventurier,41,6311.09,0.878,5.1,0.454
U13320,Équilibré,10,2649.06,0.5,59.8,0.273
U13321,Équilibré,7,1977.87,0.558,58.0,0.107
U13322,Prudent,2,1044.94,0.114,106.5,0.088
U13323,Équilibré,14,1903.84,0.325,34.8,0.201
U13324,Équilibré,11,916.11,0.558,70.6,0.122
U13325,Équilibré,11,1203.6,0.332,79.0,0.178
U13326,Prudent,4,920.13,0.165,265.6,0.088
U13327,Équilibré,11,1480.27,0.416,88.4,0.317
U13328,Prudent,0,838.08,0.159,128.3,0.032
U13329,Prudent,0,793.46,0.233,171.6,0.088
U13330,Aventurier,41,3433.13,0.655,11.6,0.784
U13331,Prudent,1,893.46,0.148,240.0,0.04
U13332,Prudent,3,384.42,0.194,105.2,0.048
U13333,Équilibré,6,2974.49,0.588,62.6,0.174
U13334,Aventurier,46,4815.95,0.648,9.5,0.65
U13335,Équilibré,6,1964.57,0.436,79.1,0.346
U13336,Équilibré,17,1730.74,0.547,32.0,0.239
U13337,Aventurier,31,3851.15,0.844,3.8,0.82
U13338,Prudent,1,750.33,0.113,126.4,0.027
U13339,Équilibré,12,2041.66,0.573,38.4,0.337
U13340,Équilibré,8,1495.46,0.478,71.9,0.347
U13341,Aventurier,45,3904.96,0.937,12.7,0.744
U13342,Prudent,1,632.15,0.075,215.6,0.025
U13343,Prudent,1,811.23,0.227,261.2,0.088
U13344,Équilibré,8,801.45,0.503,56.4,0.317
U13345,Équilibré,12,1860.14,0.449,24.2,0.104
U13346,Équilibré,11,1187.05,0.463,64.0,0.217
U13347,Équilibré,10,2253.64,0.47,72.5,0.321
U13348,Prudent,3,888.61,0.218,251.7,0.082
U13349,Équilibré,6,1533.35,0.418,86.8,0.111
U13350,Équilibré,6,2569.49,0.464,23.8,0.275
U13351,Aventurier,38,2576.8,0.771,9.2,0.469
U13352,Prudent,2,695.83,0.144,157.7,0.029
U13353,Aventurier,52,2228.29,0.84,11.0,0.704
U13354,Équilibré,11,1086.34,0.28,41.2,0.148
U13355,Prudent,3,840.63,0.144,270.1,0.065
U13356,Équilibré,5,1652.02,0.306,42.5,0.202
U13357,Prudent,4,772.65,0.18,210.5,0.081
U13358,Aventurier,36,4070.82,0.917,5.4,0.594
U13359,Aventurier,44,4811.76,0.802,14.8,0.454
U13360,Prudent,1,777.97,0.209,283.5,0.025
U13361,Prudent,1,762.39,0.167,270.3,0.096
U13362,Équilibré,8,1431.22,0.305,21.4,0.234
U13363,Équilibré,10,1778.26,0.278,23.9,0.224
U13364,Équilibré,13,1711.38,0.304,66.3,0.188
U13365,Prudent,0,989.59,0.091,198.3,0.048
U13366,Équilibré,13,1597.41,0.393,50.5,0.326
U13367,Prudent,1,784.96,0.06,281.0,0.07
U13368,Aventurier,35,5258.97,0.707,6.5,0.544
U13369,Aventurier,45,4293.5,0.954,14.6,0.365
U13370,Équilibré,8,1627.31,0.581,78.0,0.196
U13371,Aventurier,42,5139.79,0.992,7.3,0.653
U13372,Prudent,4,628.76,0.08,106.7,0.061
U13373,Prudent,1,726.56,0.125,299.9,0.045
U13374,Équilibré,7,1589.34,0.528,78.5,0.279
U13375,Équilibré,13,2392.5,0.37,53.6,0.34
U13376,Équilibré,14,2331.23,0.283,51.8,0.144
U13377,Aventurier,47,2518.48,0.995,9.3,0.536
U13378,Aventurier,44,4538.77,0.635,12.4,0.738
U13379,Équilibré,8,2890.42,0.39,73.4,0.315
U13380,Équilibré,11,739.05,0.498,49.8,0.254
U13381,Prudent,1,503.59,0.106,102.8,0.086
U13382,Prudent,0,673.11,0.203,133.8,0.095
U13383,Équilibré,13,1478.75,0.57,55.6,0.283
U13384,Équilibré,10,2487.85,0.268,39.1,0.215
U13385,Équilibré,10,1637.91,0.349,54.5,0.152
U13386,Prudent,4,579.85,0.163,211.6,0.073
U13387,Équilibré,6,2578.74,0.378,53.3,0.255
U13388,Prudent,1,559.14,0.165,277.1,0.061
U13389,Équilibré,15,1070.96,0.396,62.5,0.299
U13390,Prudent,3,1024.85,0.228,185.6,0.034
U13391,Prudent,0,803.82,0.151,234.7,0.046
U13392,Prudent,4,818.52,0.23,126.0,0.031
U13393,Prudent,2,792.57,0.218,158.4,0.076
U13394,Aventurier,37,4810.71,0.941,6.2,0.679
U13395,Prudent,0,1022.14,0.072,214.2,0.097
U13396,Prudent,4,906.62,0.081,113.2,0.056
U13397,Équilibré,10,1329.71,0.396,70.2,0.296
U13398,Équilibré,6,1150.09,0.3,67.1,0.155
U13399,Prudent,1,782.02,0.205,131.7,0.037
U13400,Prudent,5,508.38,0.142,117.3,0.091
U13401,Aventurier,46,4458.14,0.68,3.5,0.78
U13402,Équilibré,11,2307.39,0.38,70.3,0.201
U13403,Équilibré,15,1693.32,0.53,20.4,0.14
U13404,Équilibré,7,1745.77,0.289,69.3,0.179
U13405,Prudent,3,736.87,0.081,226.1,0.068
U13406,Prudent,3,601.38,0.223,108.4,0.027
U13407,Équilibré,16,1659.51,0.391,50.9,0.329
U13408,Aventurier,53,4429.69,0.962,13.0,0.583
U13409,Prudent,1,888.55,0.137,239.2,0.084
U13410,Aventurier,38,2195.95,0.966,2.4,0.424
U13411,Prudent,0,338.78,0.227,173.8,0.056
U13412,Prudent,3,1231.25,0.056,257.8,0.043
U13413,Prudent,4,841.97,0.136,171.7,0.079
U13414,Prudent,0,551.94,0.186,124.7,0.052
U13415,Aventurier,38,3707.24,0.758,2.6,0.406
U13416,Équilibré,12,2047.35,0.489,86.9,0.286
U13417,Prudent,2,955.88,0.116,213.0,0.033
U13418,Aventurier,46,22.62,0.689,7.9,0.682
U13419,Aventurier,40,1843.32,0.92,14.5,0.717
U13420,Équilibré,12,1413.29,0.363,73.3,0.333
U13421,Aventurier,34,4753.47,0.799,1.5,0.424
U13422,Prudent,5,939.56,0.164,100.3,0.071
U13423,Aventurier,48,4902.08,0.957,11.3,0.494
U13424,Équilibré,5,1983.89,0.592,55.4,0.301
U13425,Aventurier,35,4949.92,0.601,5.8,0.562
U13426,Équilibré,12,1914.07,0.487,50.4,0.165
U13427,Prudent,4,1112.35,0.225,266.6,0.085
U13428,Équilibré,10,2126.38,0.318,87.3,0.115
U13429,Prudent,3,871.96,0.056,113.1,0.099
U13430,Prudent,1,848.41,0.139,120.9,0.098
U13431,Prudent,2,989.5,0.11,115.2,0.09
U13432,Aventurier,52,4828.93,0.946,8.6,0.494
U13433,Prudent,5,665.21,0.167,233.7,0.088
U13434,Équilibré,7,2234.27,0.429,57.2,0.334
U13435,Équilibré,9,2326.71,0.547,55.2,0.217
U13436,Aventurier,37,2341.69,0.766,4.5,0.748
U13437,Prudent,1,630.01,0.221,288.8,0.097
U13438,Équilibré,9,2828.62,0.321,71.7,0.26
U13439,Aventurier,41,2761.7,0.779,5.7,0.608
U13440,Équilibré,6,2646.13,0.513,59.4,0.316
U13441,Équilibré,6,1450.23,0.523,75.7,0.329
U13442,Équilibré,8,2592.56,0.419,25.8,0.229
U13443,Aventurier,48,2655.33,0.948,12.8,0.605
U13444,Équilibré,13,1413.16,0.553,33.8,0.159
U13445,Prudent,2,932.49,0.232,293.0,0.051
U13446,Aventurier,38,6074.92,0.648,1.5,0.359
U13447,Équilibré,17,1244.13,0.264,82.0,0.285
U13448,Équilibré,13,2016.6,0.469,63.5,0.347
U13449,Aventurier,39,5014.49,0.84,6.5,0.594
U13450,Prudent,1,1027.23,0.222,143.6,0.088
U13451,Équilibré,6,2750.22,0.561,37.8,0.214
U13452,Équilibré,7,1713.29,0.337,87.6,0.209
U13453,Aventurier,35,4599.65,0.884,2.9,0.357
U13454,Prudent,3,744.57,0.214,175.3,0.063
U13455,Équilibré,5,1619.74,0.276,48.8,0.202
U13456,Aventurier,35,3583.29,0.627,5.0,0.732
U13457,Prudent,0,994.77,0.189,251.8,0.086
U13458,Prudent,2,937.14,0.166,241.9,0.085
U13459,Aventurier,42,3197.04,0.958,11.5,0.484
U13460,Prudent,3,859.84,0.067,205.2,0.098
U13461,Aventurier,27,6019.86,0.844,8.0,0.773
U13462,Prudent,2,940.75,0.206,109.4,0.066
U13463,Équilibré,10,1418.61,0.3,38.9,0.325
U13464,Équilibré,9,2438.44,0.386,89.2,0.173
U13465,Équilibré,9,1783.84,0.534,31.0,0.125
U13466,Équilibré,15,1907.15,0.501,49.5,0.303
U13467,Équilibré,11,1406.16,0.374,42.1,0.254
U13468,Aventurier,26,4292.83,0.601,6.5,0.591
U13469,Prudent,1,490.07,0.065,284.4,0.089
U13470,Équilibré,3,1533.46,0.497,24.7,0.33
U13471,Prudent,0,332.89,0.145,245.0,0.022
U13472,Équilibré,11,2329.09,0.497,45.7,0.146
U13473,Prudent,3,799.01,0.073,265.1,0.027
U13474,Prudent,3,739.5,0.132,141.9,0.024
U13475,Équilibré,11,1522.13,0.315,72.6,0.221
U13476,Prudent,1,1256.87,0.073,188.6,0.022
U13477,Prudent,2,640.69,0.127,263.8,0.023
U13478,Équilibré,8,2106.05,0.468,30.3,0.331
U13479,Équilibré,12,2382.42,0.565,81.6,0.13
U13480,Aventurier,40,3296.43,0.769,6.3,0.822
U13481,Équilibré,13,2206.08,0.266,27.3,0.337
U13482,Prudent,4,1014.02,0.089,102.2,0.032
U13483,Équilibré,14,1940.32,0.591,69.0,0.24
U13484,Prudent,3,847.76,0.169,132.1,0.029
U13485,Équilibré,7,2175.3,0.35,63.3,0.317
U13486,Aventurier,47,2866.26,0.929,10.6,0.746
U13487,Équilibré,17,1556.61,0.368,26.2,0.321
U13488,Équilibré,9,1473.84,0.393,53.2,0.149
U13489,Prudent,3,1025.81,0.148,105.3,0.059
U13490,Équilibré,15,2254.71,0.568,86.5,0.266
U13491,Aventurier,27,4132.15,0.796,3.3,0.616
U13492,Prudent,0,939.21,0.173,255.8,0.07
U13493,Prudent,0,766.22,0.136,156.6,0.029
U13494,Équilibré,11,3042.39,0.595,64.4,0.178
U13495,Équilibré,9,3166.39,0.299,57.6,0.343
U13496,Équilibré,8,360.98,0.416,56.3,0.349
U13497,Aventurier,34,5549.01,0.948,11.6,0.454
U13498,Prudent,3,659.65,0.136,229.3,0.068
